county_fips,state_fips,lat,lon,nearest_other_state_fips,distance_to_nearest_other_state_km,nearest_other_state_county_fips
39135,39,39.743238,-84.625367,18,28.744194601829218,18161
39137,39,41.008256,-84.115516,18,74.60904683787157,18001
39139,39,40.761551,-82.54039,26,149.36709176180355,26115
39141,39,39.341679,-83.023023,21,89.47797001157016,21089
39143,39,41.340365,-83.100451,26,70.17675914772032,26115
39145,39,38.780894,-82.944686,21,27.80197147455008,21089
39147,39,41.127755,-83.202108,26,89.25114100269228,26115
39149,39,40.319534,-84.194302,18,70.13341069506163,18135
39151,39,40.837592,-81.38898,54,79.95026379669329,54029
39153,39,41.11615,-81.511871,42,99.60697666339335,42073
39155,39,41.240483,-80.759943,42,35.477296164494774,42085
39157,39,40.481355,-81.467009,54,75.96559633298797,54029
39159,39,40.241874,-83.334873,18,141.3719882585384,18135
39161,39,40.856227,-84.565846,18,33.206100047052416,18001
39163,39,39.241186,-82.504249,54,59.992053002109444,54053
39165,39,39.423255,-84.24395,21,46.60566889709457,21037
39167,39,39.409803,-81.517688,54,15.919778018378116,54107
39169,39,40.836466,-81.864476,54,116.36365599655988,54029
39171,39,41.532546,-84.57175,18,38.79070425609932,18151
39173,39,41.453257,-83.602769,26,50.788259126014246,26115
39175,39,40.865997,-83.299297,26,116.21418669493174,26115
40001,40,35.887468,-94.635683,05,47.69703605964695,05143
40003,40,36.658546,-98.317631,20,65.12665934414963,20007
40005,40,34.329959,-96.097526,48,86.30411276524794,48147
40007,40,36.829383,-100.638158,20,35.064719440105435,20175
40009,40,35.361158,-99.511022,48,68.2424132688948,48483
40011,40,35.885203,-98.428177,20,147.9764387118607,20007
40013,40,33.980731,-96.386125,48,43.45581296511441,48181
40015,40,35.175959,-98.339383,48,140.91428118138504,48485
40017,40,35.493359,-97.766177,48,189.04483434366443,48485
40019,40,34.189514,-97.19745,48,64.99600733110182,48097
40021,40,35.902314,-94.995607,05,77.1262533949867,05143
40023,40,34.019064,-95.528308,48,38.20724297283204,48277
40025,40,36.734437,-102.496037,48,62.40414107423334,48421
40027,40,35.269308,-97.450434,48,176.26857903874958,48077
40029,40,34.548037,-96.278199,48,105.42795750040914,48181
40031,40,34.633044,-98.419449,48,80.12479851469224,48485
40033,40,34.31257,-98.331491,48,48.06960063283209,48485
40035,40,36.679216,-95.154588,20,60.246425701236646,20021
40037,40,35.9754,-96.226043,20,126.80148486958196,20019
40039,40,35.547694,-98.828737,48,131.7575824352522,48483
40041,40,36.468532,-94.793251,29,38.8188757014762,29119
40043,40,36.057055,-99.074156,48,117.20395095722668,48211
40045,40,36.262513,-99.786963,48,53.42458044770545,48295
40047,40,36.398481,-97.885455,20,92.00113166604021,20077
40049,40,34.737491,-97.28949,48,126.47584689362833,48097
40051,40,35.112409,-97.850428,48,147.27772077586843,48485
40053,40,36.761056,-97.779663,20,55.9242303154398,20077
40055,40,34.912036,-99.464241,48,69.31822341804632,48087
40057,40,34.694548,-99.897391,48,34.9792212942506,48087
40059,40,36.768589,-99.761804,20,59.65935058070591,20025
40061,40,35.239002,-95.124795,05,70.45628191918468,05131
40063,40,35.079245,-96.326231,48,161.8614468650505,48181
